nid,cord,cmod,cusn,ctype,cqueue,cdue,civl,cfactor,creps,clapses,cleft,codue,cdeck,codeck,nguid,nmod,nusn,ntags,nmodel,nfld_Front,nfld_Back
1685817208510,0,1688580945,301,relearn,due,478,33,2300,19,1,1001,0,自学中文,,"Mv]+*w];!,",1685817208,177,[],Basic,快,"<img src=""paste-f7533258c0c3eef81528e149fc5c4330fb5ffb9c.jpg"">飞快，好快，太快"
1685687186131,0,1689167174,311,relearn,due,459,7,2300,12,1,1001,0,自学中文,,Q}hgz@xmw},1685687186,174,[],Basic,叶,"<img src=""paste-cb5e153516b15213d737d33bf5e04d780fb4a3bc.jpg"">树叶，叶子，红叶"
1688405294528,0,1689167383,311,relearn,due,457,5,2300,18,1,1001,0,自学中文,,P69QZdmMo6,1688405294,296,[],Basic,夏,夏天，春夏，夏日，华夏
1685532435193,0,1687454354,254,relearn,due,457,25,2300,12,1,1001,0,自学中文,,DsW0q67$Ln,1685532793,171,[],Basic,阳,"<img src=""paste-2b84e4b761812e2fe938ba2ba7bc2a59bb700be5.jpg"">太阳"
1685125814036,0,1687804341,268,relearn,due,463,27,2300,20,1,1001,0,自学中文,,nr!kL0~3-+,1688327935,293,[],Basic,星,"<img src=""paste-30914850d68399cbf5749b8fea0b0478d576f2ab.jpg"">星星，金星，红星，土星，木星，火星，水星"
1684963383757,0,1687676705,266,relearn,due,461,26,2300,11,1,1002,0,自学中文,,qQGmbsQ<tH,1684963383,153,[],Basic,雪,"<img alt=""1分钟，一起画汉字：“雪” - YouTube"" src=""sddefault-8a3126df1b8c9bebc217f85b1df1650c96eab50e.jpg"">下雪，雨雪，风雪，大雪，雪白"
1684444188260,0,1688481676,298,relearn,due,500,56,2300,13,1,1001,0,自学中文,,h%^|z7[#]o,1685977743,182,[],Basic,马,"<img alt=""忆像识字-5岁儿童识字1500,轻松阅读——幼儿识字幼儿园识字学前班识字幼小衔接识字- 忆像教育官网"" src=""bdfebb4418691912422f6182aa856b4d.jpg"">我马上回家"
1686670988836,0,1689272842,313,relearn,due,465,12,2300,20,1,1001,0,自学中文,,kd20%jqaXb,1686670988,214,[],Basic,双,一双手
1687451954505,0,1688900453,305,relearn,due,462,13,2300,17,1,1001,0,自学中文,,DqPY7MnA|b,1687451954,253,[],Basic,会,学会，开会，会见，会面，我会开车
1686668263094,0,1689166913,311,relearn,due,483,31,2450,24,1,1001,0,自学中文,,H]7abV5Azk,1686668263,214,[],Basic,前,前面，校门前，前天
1687013047899,0,1689314561,314,relearn,due,493,39,2450,11,1,1001,0,自学中文,,"Ac234/31%,",1687013047,227,[],Basic,喵,喵喵叫
1686923832659,0,1689501234,322,relearn,due,460,4,2450,14,1,1001,0,自学中文,,Bb>1lyp~mv,1686924029,225,[],Basic,芽,"<img src=""paste-f933d150116767485a4394b26867c3a1687e2563.jpg"">绿芽，树芽，发芽"
1686140323410,0,1689099859,309,relearn,due,467,16,2450,19,1,1001,0,自学中文,,x2c0T&bmE?,1688327685,293,[],Basic,同,"<img src=""paste-73a2562d496e0297899ca3ec31623845e45ec7d3.jpg"">一同，同学，共同"
1686140219801,0,1688803475,304,relearn,due,488,40,2450,13,1,1001,0,自学中文,,bkXOsU.o}i,1686140219,195,[],Basic,师,"<img src=""paste-0836a5d0a587391a5874e112081ec4de3ce6fb62.jpg"">老师，大师"
1685817050806,0,1688803130,304,relearn,due,489,41,2450,24,1,1001,0,自学中文,,qP#EQ)Sr>j,1685817050,177,[],Basic,吃,"<img src=""paste-9eafea1e1b6fe3f319b6cd42c73352148d69976c.jpg"">好吃"
1685532588997,0,1689013360,307,relearn,due,457,7,2450,11,1,1001,0,自学中文,,JGozx#bsl-,1685532588,171,[],Basic,高,"<img src=""paste-737281a0b51d4248ade4299a609ebcee3e67b4bd.jpg"">高大，太高"
1684332233091,0,1686928898,225,relearn,due,461,35,2450,10,1,1001,0,自学中文,,b^@95ix+mZ,1684332233,58,[],Basic,鸭在水上,
1684332153003,0,1689167448,311,relearn,due,518,66,2450,12,1,1001,0,自学中文,,E(?%r&GA{(,1684338655,63,[],Basic,水鸭,
1687186594271,0,1689501801,322,relearn,due,495,39,2450,11,1,1001,0,自学中文,,hXjzCf2tZ=,1687186594,239,[],Basic,怕,可怕，好怕
1686226901105,0,1689013952,307,relearn,due,487,37,2600,23,1,1001,0,自学中文,,vQsYN_-wA?,1686226901,202,[],Basic,文,中文，文明
1684963146432,0,1687353348,249,relearn,due,460,29,2600,12,1,1001,0,自学中文,,KzHTEdFi*&,1685977665,182,[],Basic,明,"<img alt=""天象類的象形文字| Darcy 拼學趣"" src=""bright.jpg"">明亮，明天，明白"
1684444700144,0,1688155033,278,relearn,due,485,45,2600,14,1,1001,0,自学中文,,"C^=,;%[&wp",1684444700,108,[],Basic,二爷,
1684261315895,0,1689100348,309,relearn,due,530,79,2600,10,1,1001,0,自学中文,,"ukT&,cHqnp",1684261315,53,[],Basic,他,"<img alt=""幼儿基础看图识字认识汉字“他”_看图识字简笔画"" src=""20200710103012_556992.jpg"">"
1684260537870,0,1688407109,297,relearn,due,487,44,2750,15,1,1001,0,自学中文,,c:j81L)[j,1684260537,0,[],Basic,它,"它(tā)们<img alt=""Gender Pronouns In Chinese: &quot;他、她、它&quot;"" src=""gender-pronouns.jpg"">"
